context_length,model,rows_in_file,trials_used,peak_vram_mb,ttft_ms,tpot_ms,total_per_trial_ms,total_three_trials_ms
2000,BF16,3,3,14360.666666666666,20334.75058633333,81.12120474668093,21715.284044333504,65145.85213300052
2000,TQ,3,3,14176.0,25630.079661000156,713.9064555600422,54087.83581366682,162263.50744100046
3000,BF16,3,3,14520.666666666666,11196.15198866662,77.33004473974991,12554.608645999602,37663.82593799881
3000,TQ,3,3,14210.666666666666,4723.389506666535,717.9350367400699,33248.50841533347,99745.5252460004
4000,BF16,6,3,14627.333333333334,4692.246194666647,78.63915130669132,6102.616899666676,18307.850699000028
4000,TQ,3,3,14212.666666666666,4526.707888999984,717.2030838933733,33079.309248333324,99237.92774499998
5000,BF16,3,3,14794.0,12276.493953333329,79.86780407999959,13757.368797666648,41272.10639299994
5000,TQ,3,3,14248.0,4958.147264666574,716.7706848001884,33467.580805000274,100402.74241500083
6000,BF16,3,3,14934.0,5701.267380333396,81.0231274133533,7063.399774666701,21190.199324000103
6000,TQ,3,3,14292.666666666666,5020.346300666763,720.8489735267358,33739.622918000045,101218.86875400014
7000,BF16,3,3,15094.0,4598.508004333401,77.97494690672313,5979.16032733345,17937.48098200035
7000,TQ,3,3,14362.0,4702.8718486672005,715.9700413464694,33196.34910500039,99589.04731500115
8000,TQ,3,3,14358.666666666666,5142.426033666804,719.4032079933337,33759.79983600003,101279.39950800009
